system time,topic,qos,message content
2024-05-19T14:43:18.144484290,$SYS/broker/version,2,mosquitto version 2.0.18
2024-05-19T14:43:18.147140253,$SYS/broker/uptime,2,55 seconds
2024-05-19T14:43:18.149372422,$SYS/broker/clients/total,2,0
2024-05-19T14:43:18.150602804,$SYS/broker/clients/inactive,2,0
2024-05-19T14:43:18.151866256,$SYS/broker/clients/disconnected,2,0
2024-05-19T14:43:18.152648266,$SYS/broker/clients/active,2,0
2024-05-19T14:43:18.153801434,$SYS/broker/clients/connected,2,0
2024-05-19T14:43:18.154932500,$SYS/broker/clients/expired,2,0
2024-05-19T14:43:18.156042911,$SYS/broker/load/messages/received/1min,2,0.00
2024-05-19T14:43:18.157834531,$SYS/broker/load/messages/received/5min,2,0.00
2024-05-19T14:43:18.160636667,$SYS/broker/load/messages/received/15min,2,0.00
2024-05-19T14:43:18.161485720,$SYS/broker/load/messages/sent/1min,2,0.00
2024-05-19T14:43:18.162149530,$SYS/broker/load/messages/sent/5min,2,0.00
2024-05-19T14:43:18.162949460,$SYS/broker/load/messages/sent/15min,2,0.00
2024-05-19T14:43:18.163661943,$SYS/broker/load/publish/dropped/1min,2,0.00
2024-05-19T14:43:18.164114584,$SYS/broker/load/publish/dropped/5min,2,0.00
2024-05-19T14:43:18.165213198,$SYS/broker/load/publish/dropped/15min,2,0.00
2024-05-19T14:43:18.165767710,$SYS/broker/load/publish/received/1min,2,0.00
2024-05-19T14:43:18.166890759,$SYS/broker/load/publish/received/5min,2,0.00
2024-05-19T14:43:18.168164511,$SYS/broker/load/publish/received/15min,2,0.00
2024-05-19T14:43:18.170130878,$SYS/broker/load/publish/sent/1min,2,0.00
2024-05-19T14:43:18.170775824,$SYS/broker/load/publish/sent/5min,2,0.00
2024-05-19T14:43:18.171351487,$SYS/broker/load/publish/sent/15min,2,0.00
2024-05-19T14:43:18.172061603,$SYS/broker/load/bytes/received/1min,2,0.00
2024-05-19T14:43:18.173037076,$SYS/broker/load/bytes/received/5min,2,0.00
2024-05-19T14:43:18.173733399,$SYS/broker/load/bytes/received/15min,2,0.00
2024-05-19T14:43:18.174613038,$SYS/broker/load/bytes/sent/1min,2,0.00
2024-05-19T14:43:18.175408229,$SYS/broker/load/bytes/sent/5min,2,0.00
2024-05-19T14:43:18.176140593,$SYS/broker/load/bytes/sent/15min,2,0.00
2024-05-19T14:43:18.179142246,$SYS/broker/load/sockets/1min,2,0.00
2024-05-19T14:43:18.179882876,$SYS/broker/load/sockets/5min,2,0.00
2024-05-19T14:43:18.180992,$SYS/broker/load/sockets/15min,2,0.00
2024-05-19T14:43:18.182091063,$SYS/broker/load/connections/1min,2,0.00
2024-05-19T14:43:18.183089279,$SYS/broker/load/connections/5min,2,0.00
2024-05-19T14:43:18.183792594,$SYS/broker/load/connections/15min,2,0.00
2024-05-19T14:43:18.184474474,$SYS/broker/messages/stored,2,52
2024-05-19T14:43:18.185103375,$SYS/broker/messages/received,2,0
2024-05-19T14:43:18.185721132,$SYS/broker/messages/sent,2,0
2024-05-19T14:43:18.187075583,$SYS/broker/store/messages/count,2,52
2024-05-19T14:43:18.187542930,$SYS/broker/store/messages/bytes,2,178
2024-05-19T14:43:18.188000908,$SYS/broker/subscriptions/count,2,0
2024-05-19T14:43:18.189129357,$SYS/broker/shared_subscriptions/count,2,0
2024-05-19T14:43:18.189812257,$SYS/broker/retained messages/count,2,52
2024-05-19T14:43:18.190491794,$SYS/broker/heap/current,2,40136
2024-05-19T14:43:18.191089063,$SYS/broker/heap/maximum,2,40472
2024-05-19T14:43:18.191758169,$SYS/broker/publish/messages/dropped,2,0
2024-05-19T14:43:18.192414017,$SYS/broker/publish/messages/received,2,0
2024-05-19T14:43:18.193015766,$SYS/broker/publish/messages/sent,2,0
2024-05-19T14:43:18.226740658,$SYS/broker/publish/bytes/received,2,0
2024-05-19T14:43:18.228421625,$SYS/broker/publish/bytes/sent,2,0
2024-05-19T14:43:18.229347672,$SYS/broker/bytes/received,2,0
2024-05-19T14:43:18.230322252,$SYS/broker/bytes/sent,2,0
2024-05-19T14:43:18.376975556,$SYS/broker/uptime,2,66 seconds
2024-05-19T14:43:18.377729031,$SYS/broker/clients/total,2,1
2024-05-19T14:43:18.378528883,$SYS/broker/clients/maximum,2,1
2024-05-19T14:43:18.379476631,$SYS/broker/clients/active,2,1
2024-05-19T14:43:18.380201529,$SYS/broker/clients/connected,2,1
2024-05-19T14:43:18.381123049,$SYS/broker/load/messages/received/1min,2,96.85
2024-05-19T14:43:18.382020674,$SYS/broker/load/messages/sent/1min,2,101.42
2024-05-19T14:43:18.382713426,$SYS/broker/load/publish/sent/1min,2,52.08
2024-05-19T14:43:18.383463261,$SYS/broker/load/bytes/received/1min,2,427.61
2024-05-19T14:43:18.384396351,$SYS/broker/load/bytes/sent/1min,2,2323.51
2024-05-19T14:43:18.385374889,$SYS/broker/load/sockets/1min,2,0.91
2024-05-19T14:43:18.386541009,$SYS/broker/load/connections/1min,2,0.91
2024-05-19T14:43:18.387047609,$SYS/broker/load/messages/received/5min,2,20.82
2024-05-19T14:43:18.387459981,$SYS/broker/load/messages/sent/5min,2,21.80
2024-05-19T14:43:18.387812216,$SYS/broker/load/publish/sent/5min,2,11.19
2024-05-19T14:43:18.388372056,$SYS/broker/load/bytes/received/5min,2,91.90
2024-05-19T14:43:18.389669602,$SYS/broker/load/bytes/sent/5min,2,499.39
2024-05-19T14:43:18.390041772,$SYS/broker/load/sockets/5min,2,0.20
2024-05-19T14:43:18.390373468,$SYS/broker/load/connections/5min,2,0.20
2024-05-19T14:43:18.390915354,$SYS/broker/load/messages/received/15min,2,7.02
2024-05-19T14:43:18.391243286,$SYS/broker/load/messages/sent/15min,2,7.35
2024-05-19T14:43:18.391654575,$SYS/broker/load/publish/sent/15min,2,3.78
2024-05-19T14:43:18.392000116,$SYS/broker/load/bytes/received/15min,2,31.01
2024-05-19T14:43:18.392836697,$SYS/broker/load/bytes/sent/15min,2,168.50
2024-05-19T14:43:18.393932087,$SYS/broker/load/sockets/15min,2,0.07
2024-05-19T14:43:18.395508411,$SYS/broker/load/connections/15min,2,0.07
2024-05-19T14:43:18.396847977,$SYS/broker/messages/stored,2,53
2024-05-19T14:43:18.397293155,$SYS/broker/store/messages/count,2,53
2024-05-19T14:43:18.397670921,$SYS/broker/store/messages/bytes,2,197
2024-05-19T14:43:18.398049586,$SYS/broker/subscriptions/count,2,1
2024-05-19T14:43:18.438842477,$SYS/broker/retained messages/count,2,53
2024-05-19T14:43:18.440219974,$SYS/broker/heap/current,2,47264
2024-05-19T14:43:18.440726150,$SYS/broker/heap/maximum,2,47672
2024-05-19T14:43:18.441631232,$SYS/broker/messages/received,2,106
2024-05-19T14:43:18.442558764,$SYS/broker/messages/sent,2,126
2024-05-19T14:43:18.443373366,$SYS/broker/publish/messages/sent,2,72
2024-05-19T14:43:18.443990923,$SYS/broker/bytes/received,2,468
2024-05-19T14:43:18.444614857,$SYS/broker/bytes/sent,2,3224
2024-05-19T14:43:18.445221358,$SYS/broker/publish/bytes/sent,2,267
2024-05-19T14:43:29.375122841,$SYS/broker/uptime,2,77 seconds
2024-05-19T14:43:29.375987991,$SYS/broker/load/messages/received/1min,2,151.90
2024-05-19T14:43:29.376543146,$SYS/broker/load/messages/sent/1min,2,138.34
2024-05-19T14:43:29.378069221,$SYS/broker/load/publish/sent/1min,2,61.63
2024-05-19T14:43:29.378574433,$SYS/broker/load/bytes/received/1min,2,641.05
2024-05-19T14:43:29.379084588,$SYS/broker/load/bytes/sent/1min,2,2796.82
2024-05-19T14:43:29.379686354,$SYS/broker/load/sockets/1min,2,0.76
2024-05-19T14:43:29.380193496,$SYS/broker/load/connections/1min,2,0.76
2024-05-19T14:43:29.380672127,$SYS/broker/load/messages/received/5min,2,35.38
2024-05-19T14:43:29.381303948,$SYS/broker/load/messages/sent/5min,2,32.60
2024-05-19T14:43:29.381732838,$SYS/broker/load/publish/sent/5min,2,14.72
2024-05-19T14:43:29.382212369,$SYS/broker/load/bytes/received/5min,2,149.87
2024-05-19T14:43:29.382780968,$SYS/broker/load/bytes/sent/5min,2,666.79
2024-05-19T14:43:29.383305301,$SYS/broker/load/messages/received/15min,2,12.11
2024-05-19T14:43:29.383874356,$SYS/broker/load/messages/sent/15min,2,11.18
2024-05-19T14:43:29.384337811,$SYS/broker/load/publish/sent/15min,2,5.06
2024-05-19T14:43:29.384890628,$SYS/broker/load/bytes/received/15min,2,51.31
2024-05-19T14:43:29.385372385,$SYS/broker/load/bytes/sent/15min,2,229.00
2024-05-19T14:43:29.385907287,$SYS/broker/store/messages/bytes,2,213
2024-05-19T14:43:29.386598104,$SYS/broker/heap/current,2,46944
2024-05-19T14:43:29.423246051,$SYS/broker/heap/maximum,2,48416
